 12	IND 	ARI 	SUNDAY, NOVEMBER 24TH	4:05PM ET			
 12	TEN 	OAK 	SUNDAY, NOVEMBER 24TH	4:05PM ET			
 12	DAL 	NYG 	SUNDAY, NOVEMBER 24TH	4:25PM ET			
 12	DEN 	NE 	SUNDAY, NOVEMBER 24TH	8:30PM ET			
 12	SF 	WAS 	MONDAY, NOVEMBER 25TH	8:40PM ET			
 13	GB 	DET 	THURSDAY, NOVEMBER 28TH	12:30PM ET			
 13	OAK 	DAL 	THURSDAY, NOVEMBER 28TH	4:30PM ET			
 13	PIT 	BAL 	THURSDAY, NOVEMBER 28TH	8:30PM ET			
 13	DEN 	KAN 	SUNDAY, DECEMBER 1ST	1:00PM ET			
 13	JAC 	CLE 	SUNDAY, DECEMBER 1ST	1:00PM ET			
 13	TEN 	IND 	SUNDAY, DECEMBER 1ST	1:00PM ET			
 13	ARI 	PHI 	SUNDAY, DECEMBER 1ST	1:00PM ET			
 13	MIA 	NYJ 	SUNDAY, DECEMBER 1ST	1:00PM ET			
 13	CHI 	MIN 	SUNDAY, DECEMBER 1ST	1:00PM ET			
 13	TB 	CAR 	SUNDAY, DECEMBER 1ST	1:00PM ET			
 13	STL 	SF 	SUNDAY, DECEMBER 1ST	4:05PM ET			
 13	ATL 	BUF 	SUNDAY, DECEMBER 1ST	4:05PM ET			
 13	CIN 	SD 	SUNDAY, DECEMBER 1ST	4:25PM ET			
 13	NE 	HOU 	SUNDAY, DECEMBER 1ST	4:25PM ET			
 13	NYG 	WAS 	SUNDAY, DECEMBER 1ST	8:30PM ET			
 13	NO 	SEA 	MONDAY, DECEMBER 2ND	8:40PM ET			
 14	HOU 	JAC 	THURSDAY, DECEMBER 5TH	8:25PM ET			
 14	CLE 	NE 	SUNDAY, DECEMBER 8TH	1:00PM ET			
 14	IND 	CIN 	SUNDAY, DECEMBER 8TH	1:00PM ET			
 14	BUF 	TB 	SUNDAY, DECEMBER 8TH	1:00PM ET			
 14	MIN 	BAL 	SUNDAY, DECEMBER 8TH	1:00PM ET			
 14	MIA 	PIT 	SUNDAY, DECEMBER 8TH	1:00PM ET			
 14	OAK 	NYJ 	SUNDAY, DECEMBER 8TH	1:00PM ET			
 14	KAN 	WAS 	SUNDAY, DECEMBER 8TH	1:00PM ET			
 14	CAR 	NO 	SUNDAY, DECEMBER 8TH	1:00PM ET			
 14	DET 	PHI 	SUNDAY, DECEMBER 8TH	1:00PM ET			
 14	TEN 	DEN 	SUNDAY, DECEMBER 8TH	4:05PM ET			
 14	STL 	ARI 	SUNDAY, DECEMBER 8TH	4:25PM ET			
 14	NYG 	SD 	SUNDAY, DECEMBER 8TH	4:25PM ET			
